University Name,Established Since,Sector,Chartered By,City,Province,Recognised University
Abdul Wali Khan University,2/25/2009,Public,Government of Khyber Pakhtunkhwa,Mardan,Khyber Pakhtunkhwa,Yes
Aga Khan University,3/2/1983,Private,Government of Pakistan,Karachi,Sindh,Yes
Air University,10/29/2002,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
"Air War College Institute, Karachi",1/21/2021,Public,Government of Pakistan,Karachi,Sindh,Yes
Al-Hamd Islamic University,4/20/2005,Private,Government of Balochistan,Quetta,Balochistan,Yes
Ali Institute of Education,2/15/2010,Private,Government of Punjab,Lahore,Punjab,Yes
"Al-Karam International Institute, Bhera",1/12/2021,Private,Government of Pakistan,Bhera,Punjab,Yes
Al-Khair University,7/4/1994,Private,Government of AJK,Bhimber,Azad Jammu & Kashmir,Yes
Allama Iqbal Open University,7/5/1984,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
"Aror University of Art, Architecture, Design and Heritage, Sukkur",7/15/2020,Public,Government of Sindh,Sukkur,Sindh,Yes
Bacha Khan University,3/7/2012,Public,Government of Khyber Pakhtunkhwa,Charsada,Khyber Pakhtunkhwa,Yes
Bahauddin Zakariya University,3/4/1975,Public,Government of Punjab,Multan,Punjab,Yes
Bahria University,2/7/2000,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
Balochistan University of Engineering & Technology,8/3/1994,Public,Government of Balochistan,Khuzdar,Balochistan,Yes
"Balochistan University of Information Technology, Engineering & Management Sciences (BUITEMS)",7/18/2002,Public,Government of Balochistan,Quetta,Balochistan,Yes
Baqai Medical University,5/26/1996,Private,Government of Sindh,Karachi,Sindh,Yes
Beaconhouse National University,7/2/2005,Private,Government of Punjab,Lahore,Punjab,Yes
"Begum Nustrat Bhutto Women University, Sukkur",6/7/2018,Public,Government of Sindh,Sukkur,Sindh,Yes
Benazir Bhutto Shaheed University Lyari,1/28/2010,Public,Government of Sindh,Karachi,Sindh,Yes
"Benazir Bhutto Shaheed University of Technology & Skill Development, Khairpur Mirs",4/22/2016,Public,Government of Sindh,Khairpur,Sindh,Yes
Brains Institute Peshawar,10/20/2016,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
Capital University of Science & Technology,9/28/2015,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
CECOS University of Information Technology & Emerging Sciences,8/30/2001,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
"Cholistan University of Veterinary and Animal Sciences, Bahawalpur",5/4/2018,Public,Government of Punjab,Bahawal Pur,Punjab,Yes
City University of Science and Information Technology,8/30/2001,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
Commecs Institute of Business & Emerging Sciences,2/18/2010,Private,Government of Sindh,Karachi,Sindh,Yes
COMSATS Institute of Information Technology,8/12/2000,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
Dadabhoy Institute of Higher Education,1/12/2004,Private,Government of Sindh,Karachi,Sindh,Yes
Dawood University of Engineering & Technology,10/31/2007,Public,Government of Pakistan,Karachi,Sindh,Yes
DHA Suffa University,5/27/2002,Private,Government of Sindh,Karachi,Sindh,Yes
DOW University of Health Sciences,12/17/2005,Public,Government of Sindh,Karachi,Sindh,Yes
"Emaan Institute of Management & Sciences, Karachi",5/28/2018,Private,Government of Sindh,Karachi,Sindh,Yes
"Emerson University, Multan",5/17/2021,Public,Government of Punjab,Multan,Punjab,Yes
"Faisalabad Medical University, Faisalabad",9/28/2017,Public,Government of Punjab,Faisalabad,Punjab,Yes
"Fatima Jinnah Medical University, Lahore",7/1/2015,Public,Government of Punjab,Lahore,Punjab,Yes
"Fatima Jinnah Women University, Rawalpindi",8/9/1999,Public,Government of Punjab,Rawalpindi,Punjab,Yes
"Federal Urdu University of Arts, Sciences & Technology",11/13/2002,Public,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
Forman Christian College,10/12/2004,Private,Government of Punjab,Lahore,Punjab,Yes
Foundation University,10/25/2002,Private,Government of Pakistan,Islamabad,Islamabad Capital Territory,Yes
Gambat Institute of Medical Sciences,12/18/2006,Public,Government of Sindh,Khairpur,Sindh,Yes
Gandhara University,11/23/2002,Private,Government of Khyber Pakhtunkhwa,Peshawar,Khyber Pakhtunkhwa,Yes
"Ghazi National Institute of Engineering and Sciences, Dera Ghazi Khan",12/24/2021,Private,Government of Punjab,Dera Ghazi Khan,Punjab,Yes
